event_id,date,date_type,site,category,metric_grain,description,status,amount_usd,count_in_site_total,source_id,notes
1,2022-11-15,announced,"Multiple (original 5 sites)",EDCA program milestone,program cumulative,"U.S. agrees to spend $66.5M to accelerate EDCA construction at the five original sites over two years (announced at OSD/Philippine DND meetings)",Announced,66500000,FALSE,S1,"Milestone anchor #1 — already includes site-level projects; never sum with site rows"
2,2023-04-11,announced,"Multiple (all 9 EDCA sites)",EDCA program milestone,program cumulative,"Sec. Austin (2+2 Ministerial): expects >$100M allocated to EDCA infrastructure by end of FY2023, incl. +$18M announced at the 2+2; DFA Sec. Manalo confirms 'to date, over $100M' at April 19 Senate hearing",Allocated,100000000,FALSE,S3,"Milestone anchor #3 — cumulative total; includes all site rows below. Corroborated by S4"
3,2023-04-01,as_of,"Multiple (original 5 sites)",EDCA program milestone,program cumulative,"Pentagon: ~$82M allocated to the original five EDCA sites (April 2023)",Allocated,82000000,FALSE,S2,"Milestone anchor #2 — see README reconciliation note vs. $86.2M site-level sum"
4,2023-03-01,as_of,Basa Air Base (Pampanga),EDCA site infrastructure,site cumulative,"Cumulative U.S. allocation to Basa as of March 2023 (HADR warehouse C2 fuel storage runway improvements aircraft parking)",Allocated,66570000,TRUE,S1,"From your notes [^15.4]; corroborated by S2 ($66M of $82M)"
5,2023-11-06,completed,Basa Air Base (Pampanga),EDCA site infrastructure,project,"Runway rehabilitation (2800 m) — largest single EDCA project to date; completed Nov 2023",Complete,25000000,FALSE,S2,"Project sits INSIDE Basa's $66.57M site cumulative (event 4); do not sum"
6,2023-03-01,as_of,Fort Magsaysay (Nueva Ecija),EDCA site infrastructure,site cumulative,"Cumulative allocation (HADR warehouse command-and-control urban combat training facilities)",Allocated,11400000,TRUE,S1,"FIXED — your CSV had $114000000 (10x error); verified $11.4M"
7,2023-03-01,as_of,Antonio Bautista Air Base (Palawan),EDCA site infrastructure,site cumulative,"Cumulative allocation",Allocated,1800000,TRUE,S1,"From your notes; verify page/figure against S1"
8,2023-03-01,as_of,Mactan-Benito Ebuen Air Base (Cebu),EDCA site infrastructure,site cumulative,"40000-gallon fuel storage facility (sole announced project at this site)",Allocated,2700000,TRUE,S1,""
9,2023-03-01,as_of,Lumbia Air Base (Cagayan de Oro),EDCA site infrastructure,site cumulative,"Cumulative allocation",Allocated,3700000,TRUE,S1,"Your CSV text said '$3.7' (missing M) — normalized to $3.7M"
10,2023-01-01,announced,National (civilian),Civilian assistance (non-EDCA),program pledge,"USAID pledge to support Philippine infrastructure projects",Pledged,5000000,FALSE,S5,"UNVERIFIED — locate original USAID/Embassy release + exact date before publishing; civilian aid keep OFF defense totals"
